"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000221539.1",1050.98735856079,-1.27317847482768,0.332488380829189,-3.83061441417801,0.000127823679260553,0.016241105585892
"ENSG00000202031.1",3487.77320058557,-1.65024233003382,0.449047263482754,-3.73488368226369,0.00018780196877874,0.02058551902936
"ENSG00000276584.1",10.0881514685779,1.62415106445595,0.409288231199687,3.92006345409946,8.85256569013166e-05,0.0143242943881273
"ENSG00000117143.13",4.29529476000339,1.7268867135164,0.471920396628126,3.5544061225283,0.000378833729329783,0.0306494526729191
"ENSG00000234741.8",128860.138938458,-1.73473767686696,0.402557116468114,-4.31289267647716,1.61132347558724e-05,0.00397349449923013
"ENSG00000168264.11",7.8212173858923,1.56735061994066,0.39920777364275,3.86853227663002,0.000109492444392185,0.0148822130417858
"ENSG00000222650.1",8.17380559379107,1.61710905564871,0.416909221344199,3.88444004764648,0.00010256599676884,0.0146509974767081
"ENSG00000200488.1",3.38857863533209,2.18001852744231,0.531750271153427,3.80205969720492,0.000143498138365416,0.0174145240773458
"ENSG00000283203.1",36.6693854572615,2.12039149103845,0.418765045046292,5.4076943677598,6.38412448134815e-08,5.42331374690526e-05
"ENSG00000202400.1",1665.40616181696,-1.75420082885343,0.426146608111928,-4.12961610681662,3.63369462381782e-05,0.00756078870433619
"ENSG00000222345.1",1150.11977898995,-1.78087906152462,0.450537715449732,-3.99508424320392,6.46712530266671e-05,0.0109876458892307
"ENSG00000221500.1",1081.54333649094,-1.48925198733168,0.407997659412936,-3.67644563738101,0.000236506226221792,0.0229613759057614
"ENSG00000201772.1",58.8122362925472,-1.28712141099884,0.359052065401802,-3.59017847440322,0.000330451621332784,0.0287916566484308
"ENSG00000222355.1",19.0219894268994,1.84372330336277,0.524834522325352,3.74676923374486,0.000179126732050646,0.0202890878502699
"ENSG00000244642.3",16.6535605704727,3.35343228749466,0.440718042909206,7.09309873808775,1.31141818658219e-12,2.22809949900314e-09
"ENSG00000160959.8",4.81229640638662,-1.84339357158613,0.470003487884336,-3.75880125253227,0.000170729386647607,0.0200047743389162
